fault_text1,fault_text2,semantic_similarity
离心泵密封泄漏，机械密封端面磨损,变频器散热风扇故障，散热片温度达75℃,0.3
传感器抗干扰差，受电磁干扰出现跳变,液压缸动作卡顿，换向时出现滞涩现象,0.08
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.62
继电器线圈烧毁，电阻值无穷大,传感器响应延迟，信号滞后2秒,0.23
轴承间隙过大，径向游隙超0.15mm,轴承温升过高，连续运行2小时后温度达80℃,0.8
液压缸动作卡顿，换向时出现滞涩现象,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.53
变频器参数紊乱，加速时间被异常修改,传感器响应延迟，信号滞后2秒,0.25
轴承滚珠破损，振动频谱出现冲击峰值,轴承润滑脂干涸，出现干摩擦异响,0.87
轴承间隙过大，径向游隙超0.15mm,轴承磨损异响，运转时出现周期性异音,0.99
PLC输入输出点I0.2损坏，无信号输入,PLC程序报错，梯形图逻辑错误导致误动作,0.45
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.51
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.9
传感器量程超限，显示值固定为最大值,电机连续运行8小时后出现异响，振动值超额定20%,0.08
继电器线圈烧毁，电阻值无穷大,继电器接触不良，信号传输时断时续,0.89
PLC通讯故障，与变频器的Modbus连接中断,电机连续运行8小时后出现异响，振动值超额定20%,0.29
传感器量程超限，显示值固定为最大值,传感器响应延迟，信号滞后2秒,0.89
PLC程序报错，梯形图逻辑错误导致误动作,PLC信号丢失，传感器反馈数据无更新,0.98
电机连续运行8小时后出现异响，振动值超额定20%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.7
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.5
传感器量程超限，显示值固定为最大值,传感器抗干扰差，受电磁干扰出现跳变,0.84
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.86
离心泵轴承发热，温度达75℃,离心泵空转异响，进口阀门未打开导致气蚀,0.83
继电器误动作，无输入信号时触点自行闭合,继电器接触不良，信号传输时断时续,0.58
液压缸动作卡顿，换向时出现滞涩现象,液压缸压力不足，工作压力仅达额定60%,0.51
继电器线圈烧毁，电阻值无穷大,继电器线圈烧毁，电阻值无穷大,0.69
传感器无输出信号，接线端子接触不良,传感器响应延迟，信号滞后2秒,0.6
轴承间隙过大，径向游隙超0.15mm,变频器过流跳闸，输出电流超额定30%,0.09
传感器响应延迟，信号滞后2秒,传感器量程超限，显示值固定为最大值,0.56
继电器误动作，无输入信号时触点自行闭合,继电器误动作，无输入信号时触点自行闭合,0.61
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,0.59
变频器过压报警，直流母线电压达800V,轴承滚珠破损，振动频谱出现冲击峰值,0.18
变频器参数紊乱，加速时间被异常修改,变频器散热风扇故障，散热片温度达75℃,0.52
离心泵轴承发热，温度达75℃,离心泵轴承发热，温度达75℃,0.52
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.91
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.99
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.43
变频器过流跳闸，输出电流超额定30%,变频器过压报警，直流母线电压达800V,0.52
轴承温升过高，连续运行2小时后温度达80℃,轴承温升过高，连续运行2小时后温度达80℃,0.67
传感器数值漂移，测量值比实际值高10%,变频器散热风扇故障，散热片温度达75℃,0.08
传感器数值漂移，测量值比实际值高10%,传感器抗干扰差，受电磁干扰出现跳变,0.56
电机负载达额定120%时出现过热，绕组温度升至105℃,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.5
轴承滚珠破损，振动频谱出现冲击峰值,轴承润滑脂干涸，出现干摩擦异响,0.52
传感器抗干扰差，受电磁干扰出现跳变,传感器量程超限，显示值固定为最大值,0.52
电机连续运行8小时后出现异响，振动值超额定20%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.44
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.5
离心泵密封泄漏，机械密封端面磨损,液压缸动作卡顿，换向时出现滞涩现象,0.22
电机连续运行8小时后出现异响，振动值超额定20%,变频器频率漂移，设定50Hz实际输出45Hz,0.21
离心泵流量不足，出口管路堵塞,离心泵轴承发热，温度达75℃,0.59
变频器散热风扇故障，散热片温度达75℃,变频器过压报警，直流母线电压达800V,0.83
离心泵空转异响，进口阀门未打开导致气蚀,离心泵叶轮磨损，流量下降至额定70%,0.52
传感器数值漂移，测量值比实际值高10%,传感器响应延迟，信号滞后2秒,0.48
PLC断电记忆丢失，参数恢复至出厂默认值,轴承间隙过大，径向游隙超0.15mm,0.29
继电器接触不良，信号传输时断时续,继电器线圈烧毁，电阻值无穷大,0.6
轴承滚珠破损，振动频谱出现冲击峰值,轴承间隙过大，径向游隙超0.15mm,0.99
变频器频率漂移，设定50Hz实际输出45Hz,PLC断电记忆丢失，参数恢复至出厂默认值,0.19
PLC通讯故障，与变频器的Modbus连接中断,PLC输入输出点I0.2损坏，无信号输入,0.59
变频器参数紊乱，加速时间被异常修改,电机负载达额定120%时出现过热，绕组温度升至105℃,0.28
继电器接触不良，信号传输时断时续,继电器误动作，无输入信号时触点自行闭合,0.86
PLC通讯故障，与变频器的Modbus连接中断,PLC断电记忆丢失，参数恢复至出厂默认值,0.54
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.8
电机连续运行8小时后出现异响，振动值超额定20%,电机连续运行8小时后出现异响，振动值超额定20%,0.59
液压缸压力不足，工作压力仅达额定60%,传感器量程超限，显示值固定为最大值,0.09
继电器接触不良，信号传输时断时续,继电器吸合不良，线圈电压正常但触点未闭合,0.96
继电器接触不良，信号传输时断时续,继电器触点烧蚀，接触电阻增大至5Ω,0.81
变频器过压报警，直流母线电压达800V,液压缸动作卡顿，换向时出现滞涩现象,0.28
离心泵密封泄漏，机械密封端面磨损,离心泵密封泄漏，机械密封端面磨损,0.64
离心泵轴承发热，温度达75℃,离心泵密封泄漏，机械密封端面磨损,0.51
传感器抗干扰差，受电磁干扰出现跳变,离心泵密封泄漏，机械密封端面磨损,0.16
PLC程序报错，梯形图逻辑错误导致误动作,PLC通讯故障，与变频器的Modbus连接中断,0.93
继电器触点烧蚀，接触电阻增大至5Ω,继电器线圈烧毁，电阻值无穷大,0.41
继电器接触不良，信号传输时断时续,继电器触点烧蚀，接触电阻增大至5Ω,0.96
离心泵叶轮磨损，流量下降至额定70%,变频器过流跳闸，输出电流超额定30%,0.3
继电器触点烧蚀，接触电阻增大至5Ω,继电器误动作，无输入信号时触点自行闭合,0.51
继电器吸合不良，线圈电压正常但触点未闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.53
离心泵空转异响，进口阀门未打开导致气蚀,离心泵密封泄漏，机械密封端面磨损,0.62
电机负载达额定120%时出现过热，绕组温度升至105℃,电机过载停机，故障代码E012，需重启复位,0.63
变频器过压报警，直流母线电压达800V,电机过载停机，故障代码E012，需重启复位,0.03
变频器频率漂移，设定50Hz实际输出45Hz,变频器频率漂移，设定50Hz实际输出45Hz,0.47
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸活塞杆变形，伸出时出现偏斜,0.84
继电器误动作，无输入信号时触点自行闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.92
传感器量程超限，显示值固定为最大值,传感器响应延迟，信号滞后2秒,0.91
轴承润滑脂干涸，出现干摩擦异响,轴承间隙过大，径向游隙超0.15mm,0.61
液压缸压力不足，工作压力仅达额定60%,液压缸活塞杆变形，伸出时出现偏斜,0.56
电机连续运行8小时后出现异响，振动值超额定20%,电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,0.82
PLC信号丢失，传感器反馈数据无更新,PLC程序报错，梯形图逻辑错误导致误动作,0.85
电机轴承润滑不足导致转速异常，输出转速波动±5%,离心泵空转异响，进口阀门未打开导致气蚀,0.29
继电器吸合不良，线圈电压正常但触点未闭合,继电器吸合不良，线圈电压正常但触点未闭合,0.54
液压缸活塞杆变形，伸出时出现偏斜,液压缸活塞杆变形，伸出时出现偏斜,0.61
液压缸活塞杆变形，伸出时出现偏斜,离心泵流量不足，出口管路堵塞,0.28
电机负载达额定120%时出现过热，绕组温度升至105℃,电机连续运行8小时后出现异响，振动值超额定20%,0.93
传感器量程超限，显示值固定为最大值,传感器数值漂移，测量值比实际值高10%,0.68
变频器参数紊乱，加速时间被异常修改,变频器过压报警，直流母线电压达800V,0.53
PLC信号丢失，传感器反馈数据无更新,PLC输入输出点I0.2损坏，无信号输入,0.61
离心泵叶轮磨损，流量下降至额定70%,离心泵流量不足，出口管路堵塞,0.97
继电器线圈烧毁，电阻值无穷大,继电器线圈烧毁，电阻值无穷大,0.57
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.69
液压缸密封件损坏导致漏油，每小时泄漏5ml,液压缸活塞杆变形，伸出时出现偏斜,0.61
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.5
变频器频率漂移，设定50Hz实际输出45Hz,变频器参数紊乱，加速时间被异常修改,0.61
离心泵叶轮磨损，流量下降至额定70%,轴承润滑脂干涸，出现干摩擦异响,0.07
液压缸动作卡顿，换向时出现滞涩现象,液压缸密封件损坏导致漏油，每小时泄漏5ml,0.43
继电器吸合不良，线圈电压正常但触点未闭合,继电器接触不良，信号传输时断时续,0.83
离心泵密封泄漏，机械密封端面磨损,离心泵空转异响，进口阀门未打开导致气蚀,0.84
轴承磨损异响，运转时出现周期性异音,轴承温升过高，连续运行2小时后温度达80℃,0.96
离心泵叶轮磨损，流量下降至额定70%,离心泵密封泄漏，机械密封端面磨损,0.44
离心泵流量不足，出口管路堵塞,离心泵轴承发热，温度达75℃,0.82
电机轴承润滑不足导致转速异常，输出转速波动±5%,电机负载达额定120%时出现过热，绕组温度升至105℃,0.82
传感器量程超限，显示值固定为最大值,传感器抗干扰差，受电磁干扰出现跳变,0.52
轴承磨损异响，运转时出现周期性异音,轴承间隙过大，径向游隙超0.15mm,0.67
变频器频率漂移，设定50Hz实际输出45Hz,变频器过压报警，直流母线电压达800V,0.55
离心泵密封泄漏，机械密封端面磨损,离心泵叶轮磨损，流量下降至额定70%,0.55
离心泵轴承发热，温度达75℃,离心泵叶轮磨损，流量下降至额定70%,0.56
离心泵空转异响，进口阀门未打开导致气蚀,离心泵流量不足，出口管路堵塞,0.56
电机环境湿度80%时出现绝缘不良，绝缘电阻低于0.5MΩ,电机轴承润滑不足导致转速异常，输出转速波动±5%,0.5
液压缸活塞杆变形，伸出时出现偏斜,液压缸压力不足，工作压力仅达额定60%,0.82
变频器过流跳闸，输出电流超额定30%,PLC断电记忆丢失，参数恢复至出厂默认值,0.01
继电器接触不良，信号传输时断时续,传感器量程超限，显示值固定为最大值,0.21
轴承间隙过大，径向游隙超0.15mm,传感器无输出信号，接线端子接触不良,0.16
PLC程序报错，梯形图逻辑错误导致误动作,轴承润滑脂干涸，出现干摩擦异响,0.23
液压缸动作卡顿，换向时出现滞涩现象,液压缸压力不足，工作压力仅达额定60%,0.46
PLC输入输出点I0.2损坏，无信号输入,PLC断电记忆丢失，参数恢复至出厂默认值,0.99
