fault_text1_clean,fault_text2_clean,semantic_similarity,data_source
传感器量程超限 显示值固定为最大值,电机过载停机 故障代码E012 需重启复位,0.89,generated
PLC通讯故障 与变频器的Modbus连接中断,突发性PLC通讯故障 与变频器的Modbus连接中断,0.99,generated
轴承润滑脂干涸 出现干摩擦异响,轴承间隙过大 径向游隙超0 15mm,0.93,original
液压缸动作卡顿 换向时出现滞涩现象,液压缸缓冲装置失效 行程末端冲击过大,0.47,original
继电器线圈烧毁 电阻值无穷大,轴承润滑脂干涸 出现干摩擦异响,0.29,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承滚珠破损 在运行中振动频谱出现冲击峰值,0.68,generated
传感器量程超限 显示值固定为最大值,传感器响应延迟 信号滞后2秒,0.82,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器触点烧蚀 温度升高后接触电阻增大至5Ω,0.63,generated
液压缸密封件损坏导致漏油 每小时泄漏5ml,液压缸缓冲装置失效 行程末端冲击过大,0.94,original
离心泵轴承发热 温度达75,离心泵密封泄漏 机械密封端面磨损,0.66,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承润滑脂干涸 出现干摩擦异响,0.56,original
变频器散热风扇故障 散热片温度达75,变频器过压报警 直流母线电压达800V,0.83,original
变频器参数紊乱 加速时间被异常修改,继电器误动作 无输入信号时触点自行闭合,0.56,generated
传感器无输出信号 接线端子接触不良,轴承间隙过大 径向游隙超0 15mm,0.06,original
离心泵叶轮磨损 流量下降至额定70,电机负载达额定120 时出现过热 绕组温度升至105,0.13,original
变频器散热风扇故障 散热片温度达75,变频器散热风扇故障 温度升高后散热片温度达75,0.83,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机连续运行8小时后出现异响 振动值超额定20,0.85,original
继电器误动作 无输入信号时触点自行闭合,液压缸动作卡顿 换向时出现滞涩现象,0.87,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,PLC信号丢失 传感器反馈数据无更新,0.27,original
变频器散热风扇故障 散热片温度达75,变频器散热风扇故障 频繁散热片温度达75,0.81,generated
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.67,original
传感器抗干扰差 受电磁干扰出现跳变,传感器数值漂移 测量值比实际值高10,0.43,original
轴承间隙过大 径向游隙超0 15mm,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.04,generated
传感器响应延迟 信号滞后2秒,离心泵轴承发热 温度达75,0.21,original
电机连续运行8小时后出现异响 振动值超额定20,电机轴承润滑不足导致转速异常 输出转速波动 5,0.63,original
变频器散热风扇故障 散热片温度达75,电压波动时变频器散热风扇故障 散热片温度达75,0.97,generated
变频器过流跳闸 输出电流超额定30,频繁变频器过流跳闸 输出电流超额定30,0.84,generated
轴承润滑脂干涸 出现干摩擦异响,轴承润滑脂干涸 出现干摩擦异响,0.96,generated
电机过载停机 故障代码E012 需重启复位,传感器抗干扰差 受电磁干扰出现跳变,0.19,original
离心泵轴承发热 温度达75,轴承磨损异响 运转时出现周期性异音,0.1,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵流量不足 出口管路堵塞,0.94,original
离心泵轴承发热 温度达75,离心泵空转异响 进口阀门未打开导致气蚀,0.6,original
液压缸缓冲装置失效 行程末端冲击过大,液压缸压力不足 工作压力仅达额定60,0.83,original
变频器过压报警 直流母线电压达800V,变频器过压报警 湿度增大后直流母线电压达800V,0.89,generated
液压缸压力不足 工作压力仅达额定60,液压缸压力不足 工作压力仅达额定60,0.65,original
传感器量程超限 显示值固定为最大值,传感器量程超限 在负载增加时显示值固定为最大值,0.97,generated
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.52,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.65,original
变频器过流跳闸 输出电流超额定30,液压缸压力不足 工作压力仅达额定60,0.19,generated
离心泵密封泄漏 机械密封端面磨损,变频器散热风扇故障 散热片温度达75,0.3,original
离心泵流量不足 出口管路堵塞,离心泵密封泄漏 机械密封端面磨损,0.63,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器散热风扇故障 散热片温度达75,0.52,original
轴承磨损异响 运转时出现周期性异音,PLC程序报错 梯形图逻辑错误导致误动作,0.18,original
液压缸密封件损坏导致漏油 每小时泄漏5ml,继电器吸合不良 线圈电压正常但触点未闭合,0.73,generated
继电器接触不良 信号传输时断时续,继电器吸合不良 线圈电压正常但触点未闭合,0.96,original
离心泵轴承发热 温度达75,离心泵叶轮磨损 流量下降至额定70,0.6,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机负载达额定120 时出现过热 绕组温度升至105,0.84,original
PLC输入输出点I0 2损坏 无信号输入,PLC断电记忆丢失 参数恢复至出厂默认值,0.45,original
液压缸压力不足 工作压力仅达额定60,液压缸密封件损坏导致漏油 每小时泄漏5ml,0.82,original
液压缸活塞杆变形 伸出时出现偏斜,继电器接触不良 信号传输时断时续,0.53,generated
传感器响应延迟 信号滞后2秒,传感器数值漂移 测量值比实际值高10,0.82,original
轴承磨损异响 运转时出现周期性异音,轴承温升过高 连续运行2小时后温度达80,0.95,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,液压缸压力不足 工作压力仅达额定60,0.34,generated
传感器响应延迟 信号滞后2秒,传感器响应延迟 温度升高后信号滞后2秒,0.98,generated
PLC通讯故障 与变频器的Modbus连接中断,PLC通讯故障 与变频器的Modbus连接中断,0.64,original
电机负载达额定120 时出现过热 绕组温度升至105,电机负载达额定120 时出现过热 间歇性绕组温度升至105,0.98,generated
传感器数值漂移 测量值比实际值高10,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.2,original
继电器线圈烧毁 电阻值无穷大,继电器触点烧蚀 接触电阻增大至5Ω,0.87,original
电机连续运行8小时后出现异响 振动值超额定20,继电器误动作 无输入信号时触点自行闭合,0.26,original
轴承滚珠破损 振动频谱出现冲击峰值,轴承间隙过大 径向游隙超0 15mm,0.65,original
PLC程序报错 梯形图逻辑错误导致误动作,PLC输入输出点I0 2损坏 无信号输入,0.82,original
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.87,original
电机轴承润滑不足导致转速异常 输出转速波动 5,电机负载达额定120 时出现过热 绕组温度升至105,0.7,original
继电器触点烧蚀 接触电阻增大至5Ω,继电器误动作 无输入信号时触点自行闭合,0.69,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器频率漂移 温度升高后设定50Hz实际输出45Hz,0.83,generated
变频器频率漂移 设定50Hz实际输出45Hz,变频器参数紊乱 加速时间被异常修改,0.92,original
传感器数值漂移 测量值比实际值高10,传感器抗干扰差 受电磁干扰出现跳变,0.52,original
PLC通讯故障 与变频器的Modbus连接中断,PLC输入输出点I0 2损坏 无信号输入,0.95,original
传感器响应延迟 信号滞后2秒,轴承滚珠破损 振动频谱出现冲击峰值,0.13,original
继电器吸合不良 线圈电压正常但触点未闭合,继电器线圈烧毁 电阻值无穷大,0.31,generated
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,0.52,original
传感器无输出信号 接线端子接触不良,传感器响应延迟 信号滞后2秒,0.44,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器过流跳闸 输出电流超额定30,0.6,original
传感器量程超限 显示值固定为最大值,传感器响应延迟 信号滞后2秒,0.01,generated
变频器散热风扇故障 散热片温度达75,频繁变频器散热风扇故障 散热片温度达75,0.63,generated
PLC通讯故障 与变频器的Modbus连接中断,PLC信号丢失 传感器反馈数据无更新,0.58,original
轴承间隙过大 径向游隙超0 15mm,PLC通讯故障 与变频器的Modbus连接中断,0.7,generated
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.61,original
离心泵叶轮磨损 流量下降至额定70,离心泵密封泄漏 机械密封端面磨损,0.95,original
离心泵流量不足 出口管路堵塞,离心泵叶轮磨损 流量下降至额定70,0.87,original
变频器散热风扇故障 散热片温度达75,变频器散热风扇故障 温度升高后散热片温度达75,0.81,generated
传感器无输出信号 接线端子接触不良,传感器量程超限 显示值固定为最大值,0.89,original
液压缸活塞杆变形 伸出时出现偏斜,变频器过压报警 直流母线电压达800V,0.17,original
轴承润滑脂干涸 出现干摩擦异响,轴承滚珠破损 振动频谱出现冲击峰值,0.69,original
离心泵密封泄漏 机械密封端面磨损,PLC断电记忆丢失 参数恢复至出厂默认值,0.17,original
继电器误动作 无输入信号时触点自行闭合,电机过载停机 故障代码E012 需重启复位,0.35,generated
继电器线圈烧毁 电阻值无穷大,轴承间隙过大 径向游隙超0 15mm,0.04,generated
变频器散热风扇故障 散热片温度达75,变频器过流跳闸 输出电流超额定30,0.55,original
继电器误动作 无输入信号时触点自行闭合,继电器接触不良 信号传输时断时续,0.61,original
PLC输入输出点I0 2损坏 无信号输入,继电器线圈烧毁 电阻值无穷大,0.28,generated
液压缸活塞杆变形 伸出时出现偏斜,变频器参数紊乱 加速时间被异常修改,0.28,original
电机连续运行8小时后出现异响 振动值超额定20,电机轴承润滑不足导致转速异常 输出转速波动 5,0.68,original
继电器接触不良 信号传输时断时续,继电器误动作 无输入信号时触点自行闭合,0.62,original
继电器接触不良 信号传输时断时续,变频器散热风扇故障 散热片温度达75,0.81,generated
液压缸缓冲装置失效 行程末端冲击过大,变频器参数紊乱 加速时间被异常修改,0.14,original
传感器数值漂移 测量值比实际值高10,传感器响应延迟 信号滞后2秒,0.41,original
离心泵空转异响 进口阀门未打开导致气蚀,离心泵流量不足 出口管路堵塞,0.46,original
PLC输入输出点I0 2损坏 无信号输入,PLC输入输出点I0 2损坏 无信号输入,0.66,original
轴承磨损异响 运转时出现周期性异音,轴承润滑脂干涸 出现干摩擦异响,0.43,generated
离心泵流量不足 出口管路堵塞,变频器过流跳闸 输出电流超额定30,0.08,original
PLC输入输出点I0 2损坏 无信号输入,变频器参数紊乱 加速时间被异常修改,0.16,generated
电机负载达额定120 时出现过热 绕组温度升至105,电机负载达额定120 时出现过热 绕组温度升至105,0.64,original
离心泵密封泄漏 机械密封端面磨损,离心泵空转异响 进口阀门未打开导致气蚀,0.92,original
传感器量程超限 显示值固定为最大值,传感器抗干扰差 受电磁干扰出现跳变,0.45,original
电机环境湿度80 时出现绝缘不良 绝缘电阻低于0 5MΩ,轴承滚珠破损 振动频谱出现冲击峰值,0.25,generated
继电器误动作 无输入信号时触点自行闭合,离心泵密封泄漏 机械密封端面磨损,0.0,original
继电器误动作 无输入信号时触点自行闭合,继电器触点烧蚀 接触电阻增大至5Ω,0.55,original
离心泵叶轮磨损 流量下降至额定70,离心泵空转异响 进口阀门未打开导致气蚀,0.62,original
轴承温升过高 连续运行2小时后温度达80,PLC程序报错 梯形图逻辑错误导致误动作,0.27,original
PLC通讯故障 与变频器的Modbus连接中断,轴承滚珠破损 振动频谱出现冲击峰值,0.58,generated
传感器抗干扰差 受电磁干扰出现跳变,传感器无输出信号 接线端子接触不良,0.81,original
变频器频率漂移 设定50Hz实际输出45Hz,变频器频率漂移 设定50Hz实际输出45Hz,0.42,original
离心泵流量不足 出口管路堵塞,PLC输入输出点I0 2损坏 无信号输入,0.14,original
